title,authors
"Design in Nature: How the Constructal Law Governs Evolution in Biology, Physics, Technology, and Social Organization",Adrian Bejan & J. Peder Zane
Conscious,Annaka Harris
Horizon,Barry Lopez
Bullies,Ben Shapiro
"Fentanyl, Inc.",Ben Westhoff
Metropolis,Ben Wilson
"The Intelligent Investor, Revised Edition",Benjamin Graham
The Alignment Problem,Brian Christian
The Quantum Universe: Everything That Can Happen Does Happen,Brian Cox & Jeff Forshaw
"Gravity's Engines: How Bubble-Blowing Black Holes Rule Galaxies, Stars, and Life in the Cosmos",Caleb Scharf
The Origin of Species,Charles Darwin
The Power of Habit,Charles Duhigg
How to Live Safely in a Science Fictional Universe,Charles Yu
An Astronaut's Guide to Life on Earth,Chris Hadfield
The Future We Choose,Christiana Figueres & Tom Rivett-Carnac
God Is Not Great,Christopher Hitchens
No One Left to Lie To,Christopher Hitchens
Hitch-22,Christopher Hitchens
The Physics Book,Clifford A. Pickover
Radicalized,Cory Doctorow
Rain,Cynthia Barnett
How To Win Friends And Influence People,Dale Carnegie
"Thinking, Fast and Slow",Daniel Kahneman
The Beginning of Infinity,David Deutsch
Dreamland: Adventures in the Strange Science of Sleep,David K. Randall
Volume Control,David Owen
The Invention of Surgery,David Schneider
The Uninhabitable Earth: Life After Warming,David Wallace-Wells
The Extended Phenotype: The Long Reach of the Gene,"Dawkins, Richard"
Outgrowing God,"Dawkins, Richard"
The Silence,Don DeLillo
The Nocturnal Brain,Dr. Guy Leschziner
"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull & Amy Wallace
The Butterfly Effect,Edward D. Melillo
Flatland: A Romance of Many Dimensions,Edwin A. Abbott
The Sixth Extinction: An Unnatural History,Elizabeth Kolbert
The Art of Logic: How to Make Sense in a World that Doesn't,Eugenia Cheng
The Shadow Drawing,Francesca Fiorani
Transcendence,Gaia Vince
Big Questions from Little People,Gemma Elwin Harris
The Human Condition,Hannah Arendt
Ikigai: The Japanese Secret to a Long and Happy Life,Héctor García & Francesc Miralles
Economics in One Lesson,Henry Hazlitt
In Pursuit of the Unknown: 17 Equations That Changed the World,Ian Stewart
Time Travel,James Gleick
Black Hole Blues and Other Songs from Outer Space,Janna Levin
The Obesity Code: Unlocking the Secrets of Weight Loss,Jason Fung
The Water Will Come,Jeff Goodell
Influenza,Jeremy Brown
The Awakened Ape,Jevan Pradas
Why Does the World Exist?: An Existential Detective Story,Jim Holt
In Search of Schrodinger's Cat,John Gribbin
Opium,John H. Halpern & David Blistein
The Great Influenza,John M. Barry
Into Thin Air,Jon Krakauer
"Weather Around the World 2015: Week by Week, Month by Month",Jon Plotkin
Eating Animals,Jonathan Sfran Foer
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson
The Psychology of Time Travel,Kate Mascarenhas
Bottle of Lies,Katherine Eban
"The Willpower Instinct: How Self-Control Works, Why It Matters, and What You Can Do To Get More of It",Kelly McGonigal
Soonish,Kelly Weinersmith & Zach Weinersmith
Blue Dreams,Lauren Slater
Killing Castro,Lawrence Block
Autonomy,Lawrence D. Burns
Leonardo's Brain,Leonard Shlain
"Sex, Time, and Power",Leonard Shlain
Dark Matter and the Dinosaurs,Lisa Randall
Patient H.M.,Luke Dittrich
Blink,Malcolm Gladwell
Figuring,Maria Popova
The Elements of Eloquence,Mark Forsyth
The Subtle Art of Not Giving a F*ck,Mark Manson
Liquid Rules,Mark Miodownik
"Things to Make and Do in the Fourth Dimension: A Mathematician's Journey Through Narcissistic Numbers, Optimal Dating Algorithms, at Least Two Kinds of Infinity, and More",Matt Parker
Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker
Future Science,Max Brockman
Superbugs: The Race to Stop an Epidemic,"McCarthy, Matt"
Settle for More,Megyn Kelly
The Little Book of Hygge: The Danish Way to Live Well,Meik Wiking
"Llewellyn's Complete Dictionary of Dreams: Over 1,000 Dream Symbols and Their Universal Meanings",Michael Lennox
The Omnivore's Dilemma,Michael Pollan
The Botany of Desire: A Plant's-Eye View of the World,Michael Pollan
"How We Believe: Science, Skepticism, and the Search for God",Michael Shermer
The Knowledge Machine,Michael Strevens
Fire and Fury,Michael Wolff
Physics of the Future: How Science Will Shape Human Destiny and Our Daily Lives by the Year 2100,Michio Kaku
The Future of Humanity,Michio Kaku
The Future of the Mind,Michio Kaku
Visions,Michio Kaku
Flow: The Psychology of Optimal Experience,Mihaly Csikszentmihalyi
The Remarkable Life of the Skin,Monty Lyman
Losing Earth,Nathaniel Rich
Some Assembly Required,Neil Shubin
Apollo's Arrow,Nicholas A. Christakis
"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom
Life Ascending,Nick Lane
The Vital Question: Why Is Life the Way It Is?,Nick Lane
A Little History of Philosophy,Nigel Warburton
Outer Limits of Reason,Noson S. Yanofsky
The Moon,Oliver Morton
The Man Who Mistook His Wife for a Hat,Oliver Sacks
Ordinarily Well,Peter D. Kramer
Other Minds,Peter Godfrey-Smith
Metazoa,Peter Godfrey-Smith
Stealth,Peter Westwick
The Hidden Life of Trees,Peter Wohlleben
Do Androids Dream of Electric Sheep?,Philip K. Dick
The Minority Report,Philip K. Dick
Mortal Engines,Philip Reeve
The Republic,Plato
What If?,Randall Munroe
The Selfish Gene,Richard Dawkins
The God Delusion,Richard Dawkins
The Greatest Show on Earth: The Evidence for Evolution,Richard Dawkins
The Blind Watchmaker,Richard Dawkins
The Magic of Reality,Richard Dawkins
Unweaving the Rainbow,Richard Dawkins
QED: The Strange Theory of Light and Matter,Richard Feynman
Buddha's Brain,Rick Hanson
The Notebooks of Lazarus Long,Robert A. Heinlein & D. F. Vassallo
Influence: Science and Practice,Robert B. Cialdini
The Invention of Medicine,Robin Lane Fox
Nine Pints,Rose George
Entropy of Imagination,Ryan Somma
Free Will,Sam Harris
"The End of Faith: Religion, Terror, and the Future of Reason",Sam Harris
This Is Your Brain on Birth Control,Sarah E. Hill
The Light Ages,Seb Falk
The Art of Choosing,Sheena Iyengar
The Gene,Siddhartha Mukherjee
The Next Great Migration,Sonia Shah
The Perfect Predator,Steffanie Strathdee & Thomas Patterson
A Brief History of Time,Stephen Hawking
A Briefer History of Time,Stephen Hawking & Leonard Mlodinow
Wonderful Life: The Burgess Shale and the Nature of History,Stephen Jay Gould
Noise: A Flaw in Human Judgment,"Sunstein, Cass R. & Sibony, Olivier & Kahneman, Daniel"
Quiet,Susan Cain
Conversations on Consciousness,Susan J. Blackmore
The Soul of an Octopus: A Surprising Exploration into the Wonder of Consciousness,Sy Montgomery
Start Your Own Business,The Staff of Entrepreneur Media
The Unabomber Manifesto: Industrial Society and Its Future,Theodore Kaczynski
"The Element Encyclopedia of 20,000 Dreams",Theresa Cheung
Ten Drugs,Thomas Hager
The Demon Under the Microscope,Thomas Hager
The Mystery of the Exploding Teeth,Thomas Morris
Gravity's Rainbow,Thomas Pynchon
Schadenfreude,Tiffany Watt Smith
Lithium,Walter A. Brown
Steve Jobs,Walter Isaacson
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari
Sapiens: A Brief History of Humankind,Yuval Noah Harari
